# Alpha_median Alpha_sigma Scatter_median Scatter_sigma x_median x_sigma Nu_median Nu_sigma
-0.246083 0.734431 0.149644 0.092883 0.439403 0.092552 0.680727 0.313071
-0.042858 0.779861 0.106302 0.080479 0.409820 0.112794 0.114439 0.428405
-0.156607 0.749293 0.122398 0.085281 0.458263 0.090631 0.827027 0.289224
-0.325584 0.758716 0.214931 0.095538 0.458405 0.087662 0.198592 0.301058
-0.688066 0.720334 0.121670 0.080872 0.467978 0.119829 0.719485 0.400047
-0.648360 0.651652 0.077357 0.059076 0.465064 0.087238 0.864705 0.295901
-0.092823 0.809868 0.139038 0.097093 0.509540 0.097015 1.040328 0.297140
0.021988 0.762938 0.122283 0.086432 0.457749 0.099002 0.509685 0.293388
-0.286375 0.685551 0.104320 0.074677 0.466483 0.080226 0.660619 0.263402
-0.747573 0.700737 0.151901 0.102200 0.335209 0.126006 0.400244 0.387524
-0.180621 0.739095 0.206910 0.121756 0.421852 0.096382 0.994294 0.333155
-1.004755 0.577825 0.091746 0.069266 0.373557 0.182819 0.543401 0.397201
-0.298583 0.705077 0.115663 0.087226 0.526755 0.082725 0.527744 0.282121
-0.048512 0.722321 0.154485 0.100383 0.474903 0.086991 0.570155 0.251055
-0.631709 0.819556 0.194938 0.104106 0.509319 0.104148 0.765284 0.348724
-0.665945 0.693640 0.104718 0.075455 0.537666 0.098270 0.859730 0.301899
0.129543 0.806145 0.175568 0.114145 0.594023 0.079472 0.939850 0.270453
-0.143576 0.690962 0.198337 0.111943 0.457825 0.091760 0.459760 0.314890
-0.452595 0.735727 0.162336 0.108947 0.524295 0.093317 0.944755 0.281416
-0.193918 0.701780 0.155710 0.092261 0.418155 0.089696 0.485962 0.285462
-0.328498 0.716344 0.118427 0.086585 0.502983 0.084283 0.883355 0.268573
-0.310777 0.739628 0.097364 0.072886 0.408444 0.083704 1.038898 0.260503
0.312064 0.748737 0.137767 0.095244 0.560667 0.087065 1.027694 0.297072
-0.648680 0.707156 0.153445 0.099604 0.473882 0.096633 0.848384 0.281547
-0.278569 0.793381 0.199491 0.113118 0.435111 0.097517 1.017530 0.271908
-0.530240 0.776908 0.223248 0.112966 0.552057 0.092004 0.967507 0.259835
-0.216060 0.859989 0.237302 0.100358 0.610679 0.078072 1.155728 0.272797
0.004065 0.860912 0.121545 0.087135 0.539939 0.097169 0.930041 0.290210
-0.115313 0.739886 0.154133 0.104154 0.476792 0.090970 1.103834 0.297912
-0.317043 0.726109 0.104010 0.075100 0.462714 0.101715 0.873855 0.310115
-0.408031 0.700735 0.103332 0.076812 0.541997 0.079571 0.601080 0.305301
-0.149627 0.760390 0.261542 0.111276 0.528849 0.095105 0.748203 0.303252
-0.335655 0.720182 0.099583 0.072855 0.443155 0.096274 0.557376 0.342290
-0.232095 0.749273 0.163002 0.110416 0.542499 0.090724 0.872861 0.327541
-0.214595 0.734830 0.126217 0.083862 0.394292 0.085209 0.595950 0.276161
0.027231 0.744890 0.094890 0.072072 0.416111 0.101210 0.355748 0.370989
-0.660706 0.802672 0.153706 0.096466 0.294066 0.126465 0.284312 0.365170
0.190900 0.708768 0.150885 0.094134 0.432780 0.090061 0.759403 0.266273
-0.339942 0.715736 0.078509 0.060489 0.464963 0.087421 0.812031 0.288027
-0.404089 0.708559 0.202914 0.119031 0.443040 0.089679 0.988323 0.267245
-0.441020 0.757693 0.094672 0.070160 0.508325 0.084467 0.643842 0.264333
-0.670966 0.729747 0.137254 0.095179 0.434422 0.100438 0.590510 0.298366
0.304302 0.828641 0.086517 0.068928 0.432233 0.107920 0.913053 0.325529
-0.011683 0.738817 0.080998 0.065023 0.595639 0.076531 0.843490 0.282077
-0.586887 0.764326 0.249531 0.108712 0.555041 0.093625 1.071440 0.266439
-0.176412 0.755922 0.153816 0.086887 0.499677 0.085475 0.697019 0.295556
-0.321673 0.711377 0.111632 0.086193 0.542384 0.077610 1.120206 0.284153
-0.494076 0.800187 0.325176 0.099162 0.484702 0.103750 0.875794 0.341844
-0.554356 0.705186 0.181070 0.095913 0.458722 0.084155 0.603811 0.263882
-0.429184 0.692615 0.108535 0.087422 0.641025 0.071548 1.412403 0.301931
